ind/benchmarks-dti/isaplanner/goal13, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal19, 2:00.00, 120.01, 0.16, Unknown
ind/benchmarks-dti/isaplanner/goal42, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal36, 0:00.83, 0.85, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal59, 0:04.52, 4.50, 0.02, Unknown
ind/benchmarks-dti/isaplanner/goal24, 0:00.12, 0.12, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal47, 0:02.15, 2.14, 0.04, Proved
ind/benchmarks-dti/isaplanner/goal25, 0:00.03, 0.02, 0.00, Unknown
ind/benchmarks-dti/isaplanner/goal61, 2:00.01, 120.63, 1.22, Unknown
ind/benchmarks-dti/isaplanner/goal9, 0:00.16, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal55, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal5, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal53, 2:00.00, 120.28, 0.60, Unknown
ind/benchmarks-dti/isaplanner/goal35, 0:00.82, 0.81, 0.02, Proved
ind/benchmarks-dti/isaplanner/goal72, 2:00.00, 120.94, 1.82, Unknown
ind/benchmarks-dti/isaplanner/goal82, 0:35.47, 35.33, 0.17, Unknown
ind/benchmarks-dti/isaplanner/goal41, 0:04.12, 4.05, 0.08, Unknown
ind/benchmarks-dti/isaplanner/goal70, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal30, 0:01.57, 1.56, 0.02, Proved
ind/benchmarks-dti/isaplanner/goal27, 0:03.60, 3.61, 0.05, Proved
ind/benchmarks-dti/isaplanner/goal7, 0:01.59, 1.58, 0.04, Proved
ind/benchmarks-dti/isaplanner/goal10, 0:00.22, 0.21, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal11, 0:01.38, 1.35, 0.06, Proved
ind/benchmarks-dti/isaplanner/goal33, 0:00.03, 0.02, 0.00, Unknown
ind/benchmarks-dti/isaplanner/goal16, 0:00.02, 0.01, 0.00, Unknown
ind/benchmarks-dti/clam/goal78, 1:00:31, 119.25, 1.54, Unknown
ind/benchmarks-dti/clam/goal14, 1:09.63, 70.14, 0.73, Unknown
ind/benchmarks-dti/clam/goal4, 2:00.00, 120.61, 1.28, Unknown
ind/benchmarks-dti/clam/goal50, 2:00.00, 120.72, 1.69, Unknown
ind/benchmarks-dti/clam/goal40, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/clam/goal29, 2:00.00, 120.89, 1.68, Unknown
ind/benchmarks-dti/clam/goal79, 2:00.00, 120.03, 0.29, Unknown
ind/benchmarks-dti/clam/goal58, 0:00.31, 0.26, 0.01, Proved
ind/benchmarks-dti/clam/goal52, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal44, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/clam/goal12, 2:00.00, 120.30, 0.65, Unknown
ind/benchmarks-dti/clam/goal20, 0:03.39, 3.39, 0.04, Unknown
ind/benchmarks-dti/clam/goal34, 2:00.00, 120.06, 0.73, Unknown
ind/benchmarks-dti/clam/goal74, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal3, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/clam/goal51, 0:00.10, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal17, 2:00.00, 120.54, 0.83, Unknown
ind/benchmarks-dti/clam/goal77, 0:03.46, 3.45, 0.04, Proved
ind/benchmarks-dti/clam/goal15, 0:00.45, 0.45, 0.00, Proved
ind/benchmarks-dti/clam/goal46, 0:02.85, 2.83, 0.04, Proved
ind/benchmarks-dti/clam/goal83, 0:16.19, 16.21, 0.13, Unknown
ind/benchmarks-dti/clam/goal69, 0:09.44, 9.46, 0.18, Proved
ind/benchmarks-dti/clam/goal2, 2:00.00, 120.56, 0.88, Unknown
ind/benchmarks-dti/clam/goal84, 2:00.00, 120.27, 0.89, Unknown
ind/benchmarks-dti/clam/goal49, 2:00.00, 121.38, 1.83, Unknown
ind/benchmarks-dti/clam/goal76, 0:41.40, 41.18, 0.28, Proved
ind/benchmarks-dti/clam/goal1, 0:00.89, 0.90, 0.00, Proved
ind/benchmarks-dti/clam/goal68, 0:31.45, 31.48, 0.10, Proved
ind/benchmarks-dti/clam/goal6, 2:00.00, 120.89, 1.28, Unknown
ind/benchmarks-dti/clam/goal62, 1:06.50, 66.91, 0.85, Unknown
ind/benchmarks-dti/clam/goal80, 2:00.00, 120.91, 1.39, Unknown
ind/benchmarks-dti/clam/goal21, 0:15.85, 15.88, 0.13, Unknown
ind/benchmarks-dti/clam/goal63, 0:00.10, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal31, 2:00.00, 120.78, 1.61, Unknown
ind/benchmarks-dti/clam/goal43, 0:00.08, 0.00, 0.00, Unknown
ind/benchmarks-dti/clam/goal71, 2:00.00, 120.95, 1.92, Unknown
ind/benchmarks-dti/clam/goal85, 0:00.16, 0.11, 0.00, Proved
ind/benchmarks-dti/clam/goal38, 0:02.69, 2.66, 0.07, Proved
ind/benchmarks-dti/clam/goal54, 2:00.00, 120.14, 0.36, Unknown
